time,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,sunrise,sunset,shortwave_radiation_sum,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,et0_fao_evapotranspiration
['2022-06-13'],[17.9],[9.6],[15.6],[8.1],['2022-06-13T04:17'],['2022-06-13T21:00'],[24.53],[0.2],[0.2],[0.0],[2.0],[19.0],[41.4],[152],[3.98]
['2022-06-28'],[23.3],[11.5],[23.0],[10.5],['2022-06-28T04:20'],['2022-06-28T21:03'],[23.61],[0.0],[0.0],[0.0],[0.0],[13.5],[25.2],[274],[4.38]
['2022-11-02'],[14.5],[11.2],[11.1],[7.1],['2022-11-02T07:33'],['2022-11-02T17:11'],[7.09],[1.0],[1.0],[0.0],[2.0],[28.1],[54.0],[237],[1.79]
['2022-11-25'],[11.4],[5.4],[8.8],[2.5],['2022-11-25T08:12'],['2022-11-25T16:39'],[3.76],[5.9],[5.9],[0.0],[12.0],[20.4],[40.0],[228],[0.52]
['2022-07-05'],[20.7],[11.7],[19.4],[10.3],['2022-07-05T04:25'],['2022-07-05T21:01'],[19.84],[0.2],[0.2],[0.0],[2.0],[20.5],[40.7],[157],[3.69]
['2022-04-26'],[13.6],[5.6],[10.3],[2.7],['2022-04-26T05:17'],['2022-04-26T19:56'],[18.63],[1.2],[1.2],[0.0],[5.0],[17.4],[38.9],[90],[2.77]
['2022-10-07'],[17.5],[8.9],[14.6],[6.0],['2022-10-07T06:48'],['2022-10-07T18:05'],[10.38],[0.0],[0.0],[0.0],[0.0],[18.7],[43.9],[239],[1.99]
['2022-07-28'],[21.8],[11.6],[20.4],[9.5],['2022-07-28T04:53'],['2022-07-28T20:36'],[23.09],[0.1],[0.1],[0.0],[1.0],[16.8],[35.3],[33],[4.63]
['2022-06-09'],[19.3],[12.8],[18.2],[11.6],['2022-06-09T04:18'],['2022-06-09T20:57'],[23.35],[1.3],[1.3],[0.0],[5.0],[16.1],[37.1],[188],[3.76]
['2022-05-16'],[23.9],[14.6],[23.6],[12.2],['2022-05-16T04:42'],['2022-05-16T20:28'],[16.96],[3.6],[3.6],[0.0],[7.0],[23.1],[39.6],[226],[3.8]
['2022-05-31'],[17.5],[8.6],[15.1],[5.9],['2022-05-31T04:24'],['2022-05-31T20:48'],[22.57],[7.6],[7.6],[0.0],[7.0],[16.9],[25.9],[1],[3.64]
['2022-02-25'],[7.3],[2.4],[3.3],[-2.6],['2022-02-25T07:30'],['2022-02-25T18:12'],[7.0],[3.6],[3.6],[0.0],[9.0],[24.5],[52.9],[184],[1.02]
['2022-11-10'],[14.4],[9.2],[11.5],[6.1],['2022-11-10T07:47'],['2022-11-10T16:58'],[5.04],[0.0],[0.0],[0.0],[0.0],[21.3],[42.1],[234],[0.93]
['2022-09-22'],[18.7],[5.9],[16.8],[3.6],['2022-09-22T06:23'],['2022-09-22T18:39'],[14.93],[0.0],[0.0],[0.0],[0.0],[9.7],[23.4],[299],[2.39]
